
Unknown;
Machine;\\7icost19\c\handler\log\console\Events;
Summary of time consumption;;;
Cycle Count;1831295;;
Batch Count;327;;
Jam Count;142;;
Assist Count;285;;
Changeover;26;;
Startups;41;;
;;;
Productive Time;05.04:12:59;;
Standby Time;11.01:10:20;;
;;;
UP Time;16.05:23:19;;
;;;
Jam Time;03.01:11:05;;
Assist Time;06:43:40;;
Changeover Time;19:27:07;;
Startup Time;01.04:51:31;;
Maintenance Time;03.11:28:33;;
;;;
Down Time;08.19:41:56;;
Operations Time;25.01:05:15;;
;;;
Analysis Start Time;10/30/20 2:25:00 PM;;
Analysis End Time;11/24/20 3:50:15 PM;;
Total Time;25.01:25:15;;
Equipment Indicators;;;;
Reliability;Failure Rate;02:44:31;;
;MTBF;00:52:29;;
;MCBF;12896;;
;Assist Rate;01:21:58;;
;MTBA;00:26:09;;
;MCBA;6425;;
Availability;Operational uptime;64%;;
Maintainability;MTTR;00:30:55;;
;MTTA;00:01:24;;
Operational utilization;Utilization;20%;;
;Total utilization;20%;;
Throughput;cycles/productive time;14742;;
Batch Profile;;;;;;;;;;;;;;;;;;;;
Batch Name;ID;Status;Pass Lane;End Time;Total Time;Productive ;Total ;X1;X2;X3;X5;X8;Left ;Right ;Abort ;Gross UPH;Net UPH;Yield;
;;;;;;Time ;Count ;;;;;;Taper ;Taper ;Count 
Sigma QFN CTD_2;11;A ;Unknown;5 Nov 2020 14:29:10;00:00:00.000;00:00:00.000;329;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
Sigma QFN CTD_2;11;C ;Unknown;5 Nov 2020 14:30:03;00:00:53.000;00:00:00.000;339;10;0;0;0;0;0;0;10;0;N/A;00.00%;
Sigma QFN CTD_2;11;C ;Unknown;5 Nov 2020 14:30:03;00:00:53.000;00:00:00.000;339;10;0;0;0;0;0;0;10;0;N/A;00.00%;
Sigma QFN CTD_3;12;A ;Unknown;5 Nov 2020 14:32:27;00:00:00.000;00:00:00.000;339;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
Sigma QFN CTD_3;12;C ;Unknown;5 Nov 2020 14:33:20;00:00:53.000;00:00:00.000;349;10;0;0;0;0;0;0;10;0;N/A;00.00%;
Sigma QFN CTD_3;12;C ;Unknown;5 Nov 2020 14:33:20;00:00:53.000;00:00:00.000;349;10;0;0;0;0;0;0;10;0;N/A;00.00%;
QFN 6X6 Impact Test_1;13;A ;Unknown;5 Nov 2020 14:58:22;00:00:00.000;00:00:00.000;349;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
QFN 6X6 Impact Test_1;13;C ;Unknown;5 Nov 2020 15:03:36;00:05:14.000;00:00:00.000;839;490;0;0;0;0;0;0;490;0;N/A;00.00%;
QFN 6X6 Impact Test_1;13;C ;Unknown;5 Nov 2020 15:03:36;00:05:14.000;00:00:00.000;839;490;0;0;0;0;0;0;490;0;N/A;00.00%;
test_4;14;A ;Unknown;5 Nov 2020 15:11:49;00:00:00.000;00:00:00.000;839;0;0;0;0;0;0;0;0;N/A;N/A;00.00%;
